"Condition","Line","EvoTime","Replicate","Count","G1Peak","G1Peak_anc","G1Peak_diff","G1_mean","G1_mean_anc","G1_sd","G1_sd_anc","t_pval","cohend_d","cohend_mag","Ploidy_change"
"PM",2,"t1000","B",9935,3.3470254106114,3.74399920754371,-0.396973796932313,3.38735002538537,3.76595751412453,0.321110067079851,0.490999568514955,0,-0.877864639837642,"large","down"
"PM",2,"t1000","C",16107,3.72237251430919,3.74399920754371,-0.0216266932345159,3.74578046444767,3.76595751412453,0.366407412766991,0.490999568514955,0.00952151681843917,-0.0398160681224599,"negligible","small change"
"PM",3,"t1000","anc",8151,3.82752920897441,3.82752920897441,0,3.84937434837456,3.84937434837456,0.474580594620012,0.474580594620012,1,0,"negligible",NA
"PM",3,"t1000","A",14668,3.01884666781717,3.82752920897441,-0.808682541157244,3.0623838868744,3.84937434837456,0.409770186494815,0.474580594620012,0,-1.88050971777148,"large","down"
"PM",3,"t1000","B",6631,3.33988069615269,3.82752920897441,-0.487648512821725,3.34965930527239,3.84937434837456,0.36378432227491,0.474580594620012,0,-1.18499016497086,"large","down"
"PM",3,"t1000","C",8304,3.53123282424861,3.82752920897441,-0.296296384725804,3.55149304820413,3.84937434837456,0.381397691295964,0.474580594620012,8.35270554859457e-226,-0.702886239188374,"medium","small change"
"PM",4,"t1000","anc",15391,3.7096251461141,3.7096251461141,0,3.75807035296429,3.75807035296429,0.514326433574066,0.514326433574066,1,0,"negligible",NA
"PM",4,"t1000","A",25647,3.2629399834766,3.7096251461141,-0.446685162637495,3.30016736824419,3.75807035296429,0.551269188172088,0.514326433574066,0,-0.932217968830222,"large","down"
"PM",4,"t1000","B",11868,4.07464833077656,3.7096251461141,0.365023184662456,4.20898651510665,3.75807035296429,0.588517754016331,0.514326433574066,0,0.841928817998753,"large","up"
"PM",4,"t1000","C",13407,3.88670304525962,3.7096251461141,0.177077899145521,3.97318178180854,3.75807035296429,0.509327947217595,0.514326433574066,5.89823618600379e-157,0.440422317405327,"small","small change"
"PM",5,"t1000","anc",25315,4.03848418787817,4.03848418787817,0,4.10612571416865,4.10612571416865,0.516409833392907,0.516409833392907,1,0,"negligible",NA
