"Condition","Line","EvoTime","Area","Major","Minor","AR","Volume"
"PM",1,"t200",43.166,7.984,6.884,1.16,198.10748012475
"PM",1,"t200",34.56,8.086,5.442,1.486,125.386111510703
"PM",1,"t200",50.11,8.826,7.229,1.221,241.501034204807
"PM",1,"t200",32.897,8.452,4.956,1.706,108.697787953788
"PM",1,"t200",34.18,7.922,5.493,1.442,125.156283521767
"PM",1,"t200",39.627,9.483,5.321,1.782,140.582379758894
"PM",1,"t200",45.101,8.14,7.055,1.154,212.137312875283
"PM",1,"t200",56.194,9.824,7.283,1.349,272.839720533179
"PM",1,"t200",47.192,8.388,7.163,1.171,225.344491564374
"PM",1,"t200",35.474,8.229,5.489,1.499,129.817172651813
"PM",1,"t200",48.17,9.01,6.807,1.324,218.592327587415
"PM",1,"t200",55.189,9.839,7.142,1.378,262.77816439241
"PM",1,"t200",45.358,8.754,6.597,1.327,199.479436508414
"PM",1,"t200",53.457,9.436,7.213,1.308,257.050479837824
"PM",1,"t200",37.644,7.444,6.439,1.156,161.600178798613
"PM",1,"t200",49.747,9.168,6.909,1.327,229.141426433378
"PM",1,"t200",53.842,9.429,7.27,1.297,260.935446730179
"PM",1,"t200",35.832,7.626,5.983,1.275,142.933302714733
"PM",1,"t200",44.225,8.439,6.672,1.265,196.698788236343
"PM",1,"t200",53.184,8.955,7.562,1.184,268.125153740029
"PM",1,"t200",35.078,7.559,5.909,1.279,138.194560047169
"PM",1,"t200",51.848,9.737,6.78,1.436,234.359833099644
"PM",1,"t200",43.77,9.186,6.067,1.514,177.040673585807
"PM",1,"t200",53.553,9.521,7.161,1.33,255.639838740402
"PM",1,"t200",46.219,8.521,6.906,1.234,212.785649663712
"PM",1,"t200",43.546,8.669,6.396,1.355,185.68829794332
"PM",1,"t200",52.644,9.433,7.106,1.327,249.401386229107
"PM",1,"t200",49.351,10.059,6.247,1.61,205.540042670003
"PM",1,"t200",35.239,8.294,5.41,1.533,127.103404541991
"PM",1,"t200",43.877,8.702,6.42,1.355,187.796613911906
"PM",1,"t200",47.956,8.999,6.785,1.326,216.916494877467
"PM",1,"t200",36.548,7.554,6.161,1.226,150.133642130759
