"Condition","Line","EvoTime","Replicate","Area","Radius","Volume"
"PM",NA,"t0","anc",1829.881,24.1343989533587,58884.1041215613
"PM",NA,"t0","anc",1925.007,24.753762523564,63534.8881789311
"PM",NA,"t0","anc",1465.054,21.5949339427818,42183.6591368109
"PM",NA,"t0","anc",2019.089,25.351449461223,68249.110321615
"PM",NA,"t0","anc",1733.186,23.4880871591396,54278.9651080007
"PM",NA,"t0","anc",1489.62,21.7752330103973,43249.0967959308
"PM",NA,"t0","anc",1280.551,20.1894042275283,34471.4156972875
"PM",NA,"t0","anc",1676.215,23.0988269370884,51624.8002591356
"PM",NA,"t0","anc",1718.029,23.385158016367,53568.5061889345
"PM",NA,"t0","anc",1605.654,22.6074222765566,48399.5973440563
"PM",NA,"t0","anc",1213.126,19.650699707303,31785.0329774955
"PM",NA,"t0","anc",1840.334,24.2032333806903,59389.3777338924
"PM",NA,"t0","anc",2366.667,27.4469215651762,86610.2980265211
"PM",NA,"t0","anc",1575.339,22.392989478649,47035.3995364073
"PM",NA,"t0","anc",2383.392,27.5437331574962,87530.0176769483
"PM",NA,"t0","anc",2177.981,26.330075659224,76461.8726858031
"PM",NA,"t0","anc",1483.871,21.7331730108935,42998.9668917966
"PM",NA,"t0","anc",1836.675,24.1791606596799,59212.3465394902
"PM",NA,"t0","anc",1642.764,22.867182202161,50087.1782708677
"PM",NA,"t0","anc",3264.097,32.2334351964362,140284.078832509
"PM",NA,"t0","anc",2403.776,27.661266510616,88655.31809043
"PM",NA,"t0","anc",2006.544,25.2725699576194,67614.0314840553
"PM",NA,"t0","anc",2652.046,29.0546461071922,102739.010653326
"PM",NA,"t0","anc",1918.735,24.7134036398643,63224.6300439132
"PM",NA,"t0","anc",1550.25,22.2139573479473,45916.2498382071
"PM",NA,"t0","anc",1265.916,20.0737036412875,33882.1634916855
"PM",NA,"t0","anc",1612.448,22.6552011546418,48707.1117218664
"PM",NA,"t0","anc",1298.844,20.3330982835991,35212.6969427506
"PM",NA,"t0","anc",2023.27,25.3776839648357,68461.2088473774
"PM",NA,"t0","anc",1823.609,24.0930025782121,58581.6217848678
"PM",NA,"t0","anc",1214.171,19.6591615492029,31826.111783143
"PM",NA,"t0","anc",2281.993,26.9514551017604,82004.0425093754
"PM",NA,"t0","anc",1851.31,24.2753017569486,59921.4785275421
"PM",NA,"t0","anc",883.319,16.7680997836362,19748.774843709
"PM",NA,"t0","anc",1548.16,22.1989782060864,45823.4267993796
"PM",NA,"t0","anc",1927.621,24.7705636010868,63664.3447723873
"PM",NA,"t0","anc",1585.269,22.4634546532961,47480.8243930348
"PM",NA,"t0","anc",2277.289,26.9236624996971,81750.6139336971
"PM",NA,"t0","anc",2587.235,28.6974298218624,98995.9931268884
"PM",NA,"t0","anc",3560.453,33.6649281774481,159816.526032239
"PM",NA,"t0","anc",1322.365,20.5163801057455,36173.5239713788
"PM",NA,"t0","anc",1557.045,22.2625878265093,46218.4680831029
"PM",NA,"t0","anc",1516.799,21.9729860750351,44438.1377408363
"PM",NA,"t0","anc",1787.544,23.8535726294515,56852.4141764537
"PM",NA,"t0","anc",1373.587,20.909957475651,38295.5276788094
"PM",NA,"t0","anc",1879.535,24.4596519175652,61297.0291558412
"PM",NA,"t0","anc",1679.351,23.1204244267409,51769.7438419622
"PM",NA,"t0","anc",2037.905,25.4693012979033,69205.3552820048
"PM",NA,"t0","anc",1224.625,19.743612748629,32238.0290163863
"PM",NA,"t0","anc",1816.291,24.0446123172457,58229.3506004033
"PM",NA,"t0","anc",2342.101,27.3041004748544,85265.2813683425
"PM",NA,"t0","anc",1542.933,22.1614716934416,45591.5546725026
"PM",NA,"t0","anc",2530.263,28.3797062624872,95744.160942453
"PM",NA,"t0","anc",2360.395,27.4105283385561,86266.2320502482
"PM",NA,"t0","anc",1877.967,24.4494470699628,61220.3396875159
"PM",NA,"t0","anc",1581.611,22.4375225325131,47316.5766002274
"PM",NA,"t0","anc",2527.127,28.3621139505148,95566.2185885634
"PM",NA,"t0","anc",1580.043,22.4263975594721,47246.2299720813
"PM",NA,"t0","anc",2373.984,27.4893175041168,87012.2665675908
"PM",NA,"t0","anc",1572.725,22.3744031372549,46918.3775653856
"PM",NA,"t0","anc",1380.381,20.9616058306673,38580.0032241899
"PM",NA,"t0","anc",1657.921,22.9724322789668,50781.9705285026
"PM",NA,"t0","anc",1608.79,22.6294887656266,48541.4603083366
"PM",NA,"t0","anc",2199.934,26.4624401964719,77620.8292149136
"PM",NA,"t0","anc",967.992,17.5533878025531,22655.385287692
"PM",NA,"t0","anc",1808.974,23.9961311058561,57877.8363614467
"PM",NA,"t0","anc",2438.273,27.8590452297815,90570.6103860733
"PM",NA,"t0","anc",1676.215,23.0988269370884,51624.8002591356
"PM",NA,"t0","anc",2009.158,25.2890263613539,67746.1995015001
"PM",NA,"t0","anc",2158.642,26.2129183673156,75445.7420403451
"PM",NA,"t0","anc",1840.857,24.2066722651139,59414.6961145877
"PM",NA,"t0","anc",1366.792,20.8581736006995,38011.7130827296
"PM",NA,"t0","anc",1745.73,23.5729318839984,54869.2991704701
"PM",NA,"t0","anc",1719.597,23.3958270927101,53641.8587748573
"PM",NA,"t0","anc",1877.444,24.4460423372873,61194.7673465146
"PM",NA,"t0","anc",1855.492,24.3027045271701,60124.6317713705
"PM",NA,"t0","anc",1968.389,25.0311341843598,65694.6789146904
"PM",NA,"t0","anc",3086.911,31.3463600609304,129017.898242729
