"Time","Condition","Line","EvoTime","Area","Radius","Volume"
"4h","PM",1,"t200",1224.623,19.7435966264521,32237.9500419676
"4h","PM",1,"t200",1194.831,19.5019619428114,31068.7315867884
"4h","PM",1,"t200",1474.461,21.6641527203913,42590.5977123479
"4h","PM",1,"t200",4808.593,39.1231733188167,250836.556478198
"4h","PM",1,"t200",1572.201,22.3706754785823,46894.9311441367
"4h","PM",1,"t200",5258.614,40.9129420089107,286860.492838994
"4h","PM",1,"t200",5439.982,41.6124987385025,301828.325483302
"4h","PM",1,"t200",606.823,13.8981207385641,11244.9324279169
"4h","PM",1,"t200",2290.354,27.0007837119701,82455.1373037941
"4h","PM",1,"t200",7285.541,48.1566166429634,467796.006631456
"4h","PM",1,"t200",613.096,13.9697715793687,11419.7481016328
"4h","PM",1,"t200",5180.213,40.606809902254,280469.23272558
"4h","PM",1,"t200",972.172,17.5912466491454,22802.2899165239
"4h","PM",1,"t200",1120.611,18.8865444130551,28219.2925616775
"4h","PM",1,"t200",820.597,16.1618110888836,17683.1115921395
"4h","PM",1,"t200",2853.795,30.1395282252704,114682.713268847
"4h","PM",1,"t200",951.788,17.4058475792217,22088.9024743097
"4h","PM",1,"t200",1155.108,19.1750435725707,29532.3283080334
"4h","PM",1,"t200",1389.265,21.0289510919856,38953.0476517432
"4h","PM",1,"t200",6519.824,45.5557288974542,396020.446137487
"4h","PM",1,"t200",4801.275,39.0933920092268,250264.167625467
"4h","PM",1,"t200",5098.676,40.2859650157226,273873.443950006
"4h","PM",1,"t200",5171.328,40.5719709540842,279747.95921339
"4h","PM",1,"t200",5917.182,43.3992802814606,342401.920125885
"4h","PM",1,"t200",1826.22,24.1102443029216,58707.4804678419
"4h","PM",1,"t200",1769.771,23.7346920262592,56006.6261893398
"4h","PM",1,"t200",6524.006,45.5703369235116,396401.535348015
"4h","PM",1,"t200",7741.312,49.6400658907018,512372.317013974
"4h","PM",1,"t200",456.294,12.0516758671293,7332.14318415452
"4h","PM",1,"t200",2046.265,25.5214885782917,69631.6384342108
"4h","PM",1,"t200",6991.798,47.1758245884484,439791.781341153
"4h","PM",1,"t200",3589.719,33.8030035103656,161791.045277635
"4h","PM",1,"t200",488.177,12.4656153200532,8113.90225346347
"4h","PM",1,"t200",7008.524,47.2322186304684,441370.850459847
"4h","PM",1,"t200",881.227,16.7482317297106,19678.6586699702
"4h","PM",1,"t200",3004.325,30.9242032849533,123875.14271209
"4h","PM",1,"t200",1169.22,19.2918191242768,30075.1743419825
"4h","PM",1,"t200",3775.791,34.6680198953413,174532.263344868
"4h","PM",1,"t200",1183.855,19.4121804624857,30641.609201888
