"Cell_volume","Cell_AR","Cluster_radius","Cluster_ncells","Cluster_packfrac"
25,1.1,20.4388132422269,389,0.271915506422953
25,1.1,19.5804906295795,333,0.264743266860735
25,1.1,18.7320968058184,386,0.350493141062829
25,1.1,19.0146653094354,408,0.354197511796151
25,1.1,19.7157815505841,381,0.296711502227439
25,1.2,24.4840196225408,705,0.286676675660775
25,1.2,20.1935069855784,375,0.27179872816075
25,1.2,20.6572589498246,332,0.224787109112998
25,1.2,24.0340882426703,680,0.292332673198212
25,1.2,19.2637885193483,429,0.358165364352058
25,1.2,24.5631592080364,655,0.263778886064683
25,1.2,18.7716893691402,372,0.335648153507804
25,1.2,20.8804044222732,405,0.265515393298479
25,1.2,21.2286412431889,388,0.242056378824694
25,1.2,19.5763346039654,366,0.291164448678085
25,1.2,22.3552857163807,631,0.33708550987352
25,1.2,19.4223220842681,357,0.290814569194247
25,1.2,22.9616667783763,512,0.252412657884881
25,1.2,24.5769217609863,618,0.248460533638971
25,1.2,20.3566339791458,379,0.268146853741233
25,1.2,20.6884326246753,380,0.256125151288266
25,1.2,20.532252675604,346,0.238571025647728
25,1.2,23.1966052795305,615,0.294071690229836
25,1.2,20.2132960976477,379,0.273891904395481
25,1.2,19.9985396919791,403,0.300719501339995
25,1.2,21.3424520140514,383,0.235134974810104
25,1.2,19.9124579105234,414,0.312951565212711
25,1.2,20.2627158619334,380,0.272610156767609
25,1.2,20.8667865181817,405,0.266035567791004
25,1.2,20.8160312701479,381,0.252105650764852
25,1.2,19.3936973253738,342,0.279830897483056
25,1.2,19.8753086203063,335,0.254656381249113
25,1.2,20.8631169453677,384,0.252374252951195
25,1.2,22.0865711630333,547,0.303007814470567
25,1.2,19.3137319437409,382,0.316458061717859
25,1.2,24.9728888816238,657,0.25177373040436
25,1.2,20.1721341060141,368,0.26757385635748
25,1.2,23.8532800308008,616,0.270886767905478
25,1.2,20.1505413745322,388,0.283023807461279
25,1.2,20.6764066203084,425,0.286955885294081
25,1.2,16.5583371465601,231,0.303677919941452
25,1.2,20.8696912230988,345,0.226528278132294
25,1.2,18.8522786304923,328,0.292168703575731
25,1.2,20.7717998754073,392,0.261044818393735
25,1.2,19.8870650868312,337,0.255722660969108
25,1.2,20.4064548316053,365,0.256354872889099
25,1.2,21.1290556159454,385,0.243596963323311
25,1.2,19.8077841913619,375,0.287988390126746
25,1.2,19.2783132024711,384,0.319871486540183
25,1.2,21.8635906696668,403,0.230139932735463
25,1.2,20.6944007009347,403,0.271392526200805
25,1.2,20.4738452119157,393,0.273303820694542
25,1.2,20.7270580241537,385,0.258047193047073
25,1.2,20.3276045612953,382,0.271428940379834
25,1.2,19.7024529064761,386,0.301215842347617
25,1.3,25.7633197966041,733,0.255829075168619
25,1.3,20.3781076261612,357,0.251783960508501
25,1.3,20.1759464302646,411,0.298669911233658
25,1.3,23.6800382325905,576,0.258896801514313
25,1.3,26.0756747370437,658,0.221498417475107
25,1.3,23.3755783052192,572,0.267276229583436
25,1.3,20.5592762185393,408,0.28021288285087
25,1.3,21.9882472552091,422,0.236914703321807
25,1.3,20.2844534747621,339,0.242415935135951
25,1.3,21.9022721052924,376,0.213585484286379
25,1.3,20.587615321385,351,0.240071375723926
