"Condition","Line","EvoTime","ColonyMorph","Replicate","Area","Radius","Volume"
"PA",2,"t600","S","rep3",6513.552,45.5338115664854,395449.132528672
"PA",2,"t600","S","rep3",19068.161,77.9075359489966,1980737.91811834
"PA",2,"t600","S","rep3",11164.298,59.6129719583072,887382.644810914
"PA",2,"t600","S","rep3",13457.265,65.4490679115838,1174353.93451891
"PA",2,"t600","S","rep3",6802.068,46.531338804019,422012.440901301
"PA",2,"t600","S","rep3",9526.24,55.0662906882194,699432.934674324
"PA",2,"t600","S","rep3",15123.024,69.3816117439969,1399013.03941753
"PA",2,"t600","S","rep3",14528.222,68.0035049925579,1317293.35641332
"PA",2,"t600","S","rep3",6338.98,44.9194835491385,379658.277104424
"PA",2,"t600","S","rep3",14650.527,68.2891468822283,1333962.65360674
"PA",2,"t600","S","rep3",12645.031,63.4431901656947,1069654.80851214
"PA",2,"t600","S","rep3",5912.478,43.3820262233585,341993.700854707
"PA",2,"t600","S","rep3",9980.966,56.3652388575111,750106.043491597
"PA",2,"t600","S","rep3",8524.276,52.089934952534,592038.643143262
"PA",2,"t600","S","rep3",10469.665,57.7286573075489,805866.270546452
"PA",2,"t600","S","rep3",8154.223,50.9467348811212,553908.049790054
"PA",2,"t600","S","rep3",14458.184,67.8393905003893,1307779.18706997
"PA",2,"t600","S","rep3",14370.375,67.6330720185649,1295883.47641171
"PA",2,"t600","S","rep3",11910.675,61.5734163712078,977841.268049514
"PA",2,"t600","S","rep3",11843.773,61.400244589225,969614.078745679
"PA",2,"t600","S","rep3",10014.417,56.4596133131198,753880.148501778
"PA",2,"t600","S","rep3",5202.688,40.6948034167727,282296.487198403
"PA",2,"t600","S","rep3",5362.103,41.3135618851215,295370.098833194
"PA",2,"t600","S","rep3",4970.621,39.7768501112489,263620.861969101
"PA",2,"t600","S","rep3",9999.259,56.4168679936439,752169.166716341
"PA",2,"t600","S","rep3",7040.407,47.3395305305995,444386.082832462
"PA",2,"t600","S","rep3",11178.41,59.6506363320271,889065.69290706
"PA",2,"t600","S","rep3",6261.101,44.6426964541258,372683.241882165
"PA",2,"t600","S","rep3",6632.199,45.946648504959,406303.088357254
"PA",2,"t600","S","rep3",11833.842,61.374497147732,968394.802767614
"PA",2,"t600","S","rep3",16229,71.8738557674259,1555254.40699941
"PA",2,"t600","S","rep3",7412.027,48.5728470522491,480031.005090854
"PA",2,"t600","S","rep3",13970.53,66.6855142757948,1242175.97034056
"PA",2,"t600","S","rep3",10860.625,58.7966351727276,851424.274497073
"PA",2,"t600","S","rep3",4340.8,37.1714884548171,215138.66277956
"PA",2,"t600","S","rep3",11590.276,60.7396035087382,938651.691729125
"PA",2,"t600","S","rep3",11228.587,59.7843645945559,895058.585452921
"PA",2,"t600","S","rep3",6020.672,43.7771563611655,351423.866057721
"PA",2,"t600","S","rep3",8786.658,52.8855377954682,619582.84500647
"PA",2,"t600","S","rep3",7577.715,49.1127437553961,496216.500061895
"PA",2,"t600","S","rep3",2745.079,29.55986779496,108192.229768961
"PA",2,"t600","S","rep3",7214.457,47.9211121171854,460966.403682151
"PA",2,"t600","S","rep3",11075.966,59.3766745181602,876872.037541612
"PA",2,"t600","S","rep3",11406.818,60.2569741963469,916453.783851234
"PA",2,"t600","S","rep3",7133.965,47.6530333471978,453273.429390323
"PA",2,"t600","S","rep3",22090.779,83.8553119915565,2469905.55357536
"PA",2,"t600","S","rep3",15905.988,71.1549944130469,1509053.98303199
"PA",2,"t600","S","rep3",11620.069,60.8176194933491,942273.246571282
"PA",2,"t600","S","rep3",7730.858,49.6065371708513,511334.792986097
