"Condition","Line","EvoTime","Replicate","DNA_content"
"PM",NA,"t0","A",1.88758184147215
"PM",NA,"t0","A",1.41212866701828
"PM",NA,"t0","A",3.91873955825973
"PM",NA,"t0","A",4.15506682195012
"PM",NA,"t0","A",3.90009951265975
"PM",NA,"t0","A",3.8492750257193
"PM",NA,"t0","A",3.58714388398398
"PM",NA,"t0","A",1.93213137444057
"PM",NA,"t0","A",1.99497772270754
"PM",NA,"t0","A",4.29529840202098
"PM",NA,"t0","A",2.44511986262622
"PM",NA,"t0","A",2.22392993530597
"PM",NA,"t0","A",2.09501615440488
"PM",NA,"t0","A",2.07459835185911
"PM",NA,"t0","A",3.62006759058905
"PM",NA,"t0","A",1.89827478547781
"PM",NA,"t0","A",3.84870297521694
"PM",NA,"t0","A",2.07763461991009
"PM",NA,"t0","A",1.94129298325529
"PM",NA,"t0","A",2.62931132360921
"PM",NA,"t0","A",3.24746029568256
"PM",NA,"t0","A",1.57006741033142
"PM",NA,"t0","A",1.75261312602301
"PM",NA,"t0","A",2.42319712722039
"PM",NA,"t0","A",3.2643313851137
"PM",NA,"t0","A",1.85945455830996
"PM",NA,"t0","A",3.7261697576114
"PM",NA,"t0","A",2.82375568974988
"PM",NA,"t0","A",2.35360938380252
"PM",NA,"t0","A",1.92318098427287
"PM",NA,"t0","A",1.76330607002866
"PM",NA,"t0","A",4.07371243973756
"PM",NA,"t0","A",1.86543908664234
"PM",NA,"t0","A",3.67422757199711
"PM",NA,"t0","A",2.00530983485786
"PM",NA,"t0","A",1.78501758678747
"PM",NA,"t0","A",3.70579595895043
"PM",NA,"t0","A",3.26271204215318
"PM",NA,"t0","A",1.89415602186081
"PM",NA,"t0","A",2.02004233548787
"PM",NA,"t0","A",3.83868769103715
"PM",NA,"t0","A",1.98009560886922
"PM",NA,"t0","A",4.01587373356047
"PM",NA,"t0","A",3.84087908450004
"PM",NA,"t0","A",3.33423595650211
"PM",NA,"t0","A",4.0816771428858
"PM",NA,"t0","A",3.80091475632747
"PM",NA,"t0","A",3.88157387716024
"PM",NA,"t0","A",2.04489572962118
"PM",NA,"t0","A",3.54192549196666
"PM",NA,"t0","A",1.90139906129839
"PM",NA,"t0","A",2.89013114957757
"PM",NA,"t0","A",4.08651757021346
"PM",NA,"t0","A",2.17005157876061
"PM",NA,"t0","A",3.97269712179773
"PM",NA,"t0","A",4.14821101669876
"PM",NA,"t0","A",1.7410225027675
"PM",NA,"t0","A",1.8195078316913
"PM",NA,"t0","A",1.8181437112626
"PM",NA,"t0","A",4.00780342108872
"PM",NA,"t0","A",1.81928781226732
"PM",NA,"t0","A",1.81937582003691
"PM",NA,"t0","A",2.04221149264857
"PM",NA,"t0","A",3.76729578834262
"PM",NA,"t0","A",4.13722764705345
"PM",NA,"t0","A",3.96912400635222
"PM",NA,"t0","A",2.21629966168218
"PM",NA,"t0","A",2.79760858140355
"PM",NA,"t0","A",3.45210476231916
"PM",NA,"t0","A",3.62305105397828
"PM",NA,"t0","A",1.68188128160042
"PM",NA,"t0","A",2.65980601577348
"PM",NA,"t0","A",2.11839981878597
"PM",NA,"t0","A",3.03672569139006
"PM",NA,"t0","A",1.66867131538439
"PM",NA,"t0","A",1.85278356937474
"PM",NA,"t0","A",3.36122793943654
"PM",NA,"t0","A",1.92700052147324
"PM",NA,"t0","A",1.81379612744466
"PM",NA,"t0","A",2.44945864566719
"PM",NA,"t0","A",4.03005178524204
"PM",NA,"t0","A",3.83751718770156
"PM",NA,"t0","A",3.72334470820744
"PM",NA,"t0","A",1.61909653877216
"PM",NA,"t0","A",2.04021371627878
"PM",NA,"t0","A",1.96257326194308
"PM",NA,"t0","A",1.85793202389598
"PM",NA,"t0","A",1.71335286000719
"PM",NA,"t0","A",1.72063990332956
"PM",NA,"t0","A",2.89483956525084
"PM",NA,"t0","A",1.87269972763383
"PM",NA,"t0","A",2.66096771833212
"PM",NA,"t0","A",3.64532582046248
"PM",NA,"t0","A",3.68365320412061
"PM",NA,"t0","A",1.64136250447941
"PM",NA,"t0","A",1.89405921331426
"PM",NA,"t0","A",3.85332338312061
"PM",NA,"t0","A",3.77749588883854
"PM",NA,"t0","A",4.00503997712347
"PM",NA,"t0","A",3.81629851445248
"PM",NA,"t0","A",3.83334561942281
"PM",NA,"t0","A",2.97241841414783
"PM",NA,"t0","A",3.60405017652296
"PM",NA,"t0","A",3.80260450550367
"PM",NA,"t0","A",3.3982264057738
"PM",NA,"t0","A",3.09137851630785
"PM",NA,"t0","A",4.10007956750788
"PM",NA,"t0","A",2.51813110828128
"PM",NA,"t0","A",2.65253657400503
"PM",NA,"t0","A",3.77883360693637
"PM",NA,"t0","A",3.69866732961332
"PM",NA,"t0","A",1.6474966460201
"PM",NA,"t0","A",3.43789150752976
"PM",NA,"t0","A",2.99846871394761
"PM",NA,"t0","A",2.85653858392359
"PM",NA,"t0","A",3.81099164594597
"PM",NA,"t0","A",3.08973277101645
"PM",NA,"t0","A",3.44059334605629
"PM",NA,"t0","A",3.58992492950315
"PM",NA,"t0","A",3.00440043761824
"PM",NA,"t0","A",1.74200818978695
"PM",NA,"t0","A",3.65023665400582
"PM",NA,"t0","A",2.0703739789186
"PM",NA,"t0","A",1.84748550164519
"PM",NA,"t0","A",2.90390436551901
"PM",NA,"t0","A",1.87132680642817
"PM",NA,"t0","A",3.12848259196862
"PM",NA,"t0","A",1.88843551683721
"PM",NA,"t0","A",2.06765453883815
"PM",NA,"t0","A",2.02049997588976
"PM",NA,"t0","A",2.66400398638311
"PM",NA,"t0","A",2.5102192097948
"PM",NA,"t0","A",3.62548886919603
"PM",NA,"t0","A",3.72430399289601
"PM",NA,"t0","A",2.93802497779055
"PM",NA,"t0","A",3.06373527587842
"PM",NA,"t0","A",2.66226143254515
"PM",NA,"t0","A",3.47404509927891
"PM",NA,"t0","A",3.03339019692246
"PM",NA,"t0","A",3.29795915387552
"PM",NA,"t0","A",3.49073137239391
"PM",NA,"t0","A",3.82427201837768
"PM",NA,"t0","A",1.728129364522
"PM",NA,"t0","A",3.63002126933011
"PM",NA,"t0","A",1.93045042604132
"PM",NA,"t0","A",1.94321155263243
"PM",NA,"t0","A",3.07324891577152
"PM",NA,"t0","A",2.00910296972736
"PM",NA,"t0","A",1.98643216827998
"PM",NA,"t0","A",2.15316288777555
"PM",NA,"t0","A",2.88403221114472
"PM",NA,"t0","A",1.95589347223091
"PM",NA,"t0","A",1.70831881558642
"PM",NA,"t0","A",2.26733536726966
"PM",NA,"t0","A",1.8923166594763
"PM",NA,"t0","A",1.75409165655219
"PM",NA,"t0","A",1.80451130775251
"PM",NA,"t0","A",1.82103916688224
"PM",NA,"t0","A",1.72396659702021
"PM",NA,"t0","A",2.01249126885672
"PM",NA,"t0","A",3.77205700867764
"PM",NA,"t0","A",1.56557901408214
"PM",NA,"t0","A",1.93964723796388
"PM",NA,"t0","A",3.52085643192589
"PM",NA,"t0","A",2.49861098498537
"PM",NA,"t0","A",1.7353019977439
"PM",NA,"t0","A",2.98392983041071
"PM",NA,"t0","A",3.30116263668874
"PM",NA,"t0","A",2.02184649476455
"PM",NA,"t0","A",1.73796863316259
"PM",NA,"t0","A",1.85461413098229
"PM",NA,"t0","A",1.9021119242321
"PM",NA,"t0","A",2.66190060068981
"PM",NA,"t0","A",1.80001411072626
"PM",NA,"t0","A",3.77253225063345
"PM",NA,"t0","A",1.81163113631265
"PM",NA,"t0","A",2.82665994614648
"PM",NA,"t0","A",2.13825437160635
"PM",NA,"t0","A",1.82340657588431
"PM",NA,"t0","A",3.61293896125194
"PM",NA,"t0","A",1.78853789757122
"PM",NA,"t0","A",1.79221662234025
"PM",NA,"t0","A",1.81332088548885
"PM",NA,"t0","A",1.87333338357491
"PM",NA,"t0","A",1.81279283887129
"PM",NA,"t0","A",3.79843293722492
"PM",NA,"t0","A",1.83686296385521
"PM",NA,"t0","A",4.07180267113737
"PM",NA,"t0","A",2.22615653187669
"PM",NA,"t0","A",2.12111925886642
"PM",NA,"t0","A",3.87170820618877
"PM",NA,"t0","A",3.98730641155031
"PM",NA,"t0","A",2.61873278970402
"PM",NA,"t0","A",1.98373032975345
"PM",NA,"t0","A",3.97671907686817
"PM",NA,"t0","A",3.96819112399452
"PM",NA,"t0","A",3.17628841241201
"PM",NA,"t0","A",1.79977648974836
"PM",NA,"t0","A",1.60889643827624
"PM",NA,"t0","A",1.88946520774146
"PM",NA,"t0","A",2.12913676667642
"PM",NA,"t0","A",3.84938063504281
"PM",NA,"t0","A",3.8830788100203
"PM",NA,"t0","A",3.36457223468111
"PM",NA,"t0","A",1.72072791109915
"PM",NA,"t0","A",1.7478255033571
"PM",NA,"t0","A",2.05708480570993
"PM",NA,"t0","A",4.32095266685759
"PM",NA,"t0","A",1.95962500166169
"PM",NA,"t0","A",3.90235251156135
"PM",NA,"t0","A",1.71433854702664
"PM",NA,"t0","A",4.29763060791522
"PM",NA,"t0","A",2.41180012105798
"PM",NA,"t0","A",3.67953444050362
"PM",NA,"t0","A",1.9207255675012
"PM",NA,"t0","A",4.05206252841747
"PM",NA,"t0","A",4.06132094577874
"PM",NA,"t0","A",2.27129571690138
"PM",NA,"t0","A",2.44656319004756
"PM",NA,"t0","A",3.88918654923011
"PM",NA,"t0","A",4.22748841554891
"PM",NA,"t0","A",1.9464678401074
"PM",NA,"t0","A",1.98379193519216
"PM",NA,"t0","A",1.88499441304609
"PM",NA,"t0","A",3.41171799685254
"PM",NA,"t0","A",3.98077623504644
"PM",NA,"t0","A",2.13525330666319
"PM",NA,"t0","A",2.71353475911053
"PM",NA,"t0","A",3.97544296420905
"PM",NA,"t0","A",3.78016252425724
"PM",NA,"t0","A",4.1299142014002
"PM",NA,"t0","A",1.74462202054389
"PM",NA,"t0","A",1.86273724811581
"PM",NA,"t0","A",3.32867386546378
"PM",NA,"t0","A",3.99388059193897
"PM",NA,"t0","A",4.05576765551737
"PM",NA,"t0","A",3.925832984489
"PM",NA,"t0","A",2.73404937020286
"PM",NA,"t0","A",2.17743543062953
"PM",NA,"t0","A",2.40781336909538
"PM",NA,"t0","A",2.12068802079541
"PM",NA,"t0","A",1.90789403469442
"PM",NA,"t0","A",2.04600462751806
"PM",NA,"t0","A",1.67385497301346
"PM",NA,"t0","A",3.59642870367614
"PM",NA,"t0","A",3.82844358665643
"PM",NA,"t0","A",3.80004347940849
"PM",NA,"t0","A",1.86218279916737
"PM",NA,"t0","A",3.86079524275913
"PM",NA,"t0","A",4.05382268380935
"PM",NA,"t0","A",3.08724215113694
"PM",NA,"t0","A",3.71113803056477
"PM",NA,"t0","A",1.98520005950566
"PM",NA,"t0","A",3.64918936154766
"PM",NA,"t0","A",3.76011435434376
"PM",NA,"t0","A",1.71767404149425
"PM",NA,"t0","A",1.9060546723099
