"Time","Condition","Ploidy","Replicate","Area","Radius","Volume"
"4h","PM","2N","Rep1",857.184,16.5181760941869,18878.8216761593
"4h","PM","2N","Rep1",2196.795,26.4435543454189,77454.7572909926
"4h","PM","2N","Rep1",825.824,16.2132027510866,17852.3359316178
"4h","PM","2N","Rep1",632.957,14.1942407556457,11979.1253946283
"4h","PM","2N","Rep1",715.017,15.086317638492,14382.6314385622
"4h","PM","2N","Rep1",2922.265,30.498948171189,118834.678369973
"4h","PM","2N","Rep1",1969.955,25.0410892701813,65773.0920176534
"4h","PM","2N","Rep1",577.554,13.5588033397123,10441.2548054189
"4h","PM","2N","Rep1",1426.898,21.3118685238033,40546.4834305039
"4h","PM","2N","Rep1",759.967,15.5532957688535,15759.9887007577
"4h","PM","2N","Rep1",934.017,17.2425881167453,21473.1605667174
"4h","PM","2N","Rep1",1374.63,20.9178947039329,38339.1541291564
"4h","PM","2N","Rep1",2615.456,28.8535180121716,100620.142408056
"4h","PM","2N","Rep1",624.594,14.1001576250437,11742.4984688754
"4h","PM","2N","Rep1",2991.781,30.8595766269861,123100.126694215
"4h","PM","2N","Rep1",540.967,13.122314742422,9464.98565235176
"4h","PM","2N","Rep1",1239.258,19.8612203283774,32817.5682422724
"4h","PM","2N","Rep1",399.845,11.2816052244864,6014.52458797966
"4h","PM","2N","Rep1",782.442,15.7816039731523,16464.253034615
"4h","PM","2N","Rep1",2427.817,27.7992473449385,89988.6470549955
"4h","PM","2N","Rep1",3151.719,31.6737007022118,133102.139071299
"4h","PM","2N","Rep1",1188.036,19.4464290794543,30804.0770904514
"4h","PM","2N","Rep1",936.108,17.2618779666563,21545.3094128143
